Episode,Scenario,Reward,Steps,Success,Collision,RepeatFailure,CorrectReject,FalseReject,RecoverySuccess
111,entrance_misclassification,-12.6291,3,True,False,False,True,False,False
112,rough_terrain,-1.03,1,False,False,False,False,True,False
113,dynamic_obstacle,10.0738,2,True,False,False,False,False,False
114,pedestrian,-9.2547,2,True,False,False,True,False,False
115,repeat_failure,-12.4366,2,True,False,False,True,False,False
116,entrance_misclassification,1.97,1,True,False,False,True,False,False
117,pedestrian,1.97,1,True,False,False,True,False,False
118,entrance_misclassification,-8.8327,2,True,False,False,True,False,False
119,repeat_failure,1.97,1,True,False,False,True,False,False
120,post_collision,-11.3634,2,True,False,False,True,False,False
121,dynamic_obstacle,8.07,1,True,False,False,False,False,False
122,post_collision,-1.03,1,False,False,False,False,True,False
123,dynamic_obstacle,-9.7211,2,True,False,False,True,False,False
124,repeat_failure,1.97,1,True,False,False,True,False,False
125,repeat_failure,1.97,1,True,False,False,True,False,False
126,post_collision,-1.03,1,False,False,False,False,True,False
127,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
128,repeat_failure,1.97,1,True,False,False,True,False,False
129,post_collision,8.4546,1,True,False,False,False,False,False
130,post_collision,-29.5255,3,True,False,False,True,False,False
131,pedestrian,1.97,1,True,False,False,True,False,False
132,rough_terrain,-10.1392,3,True,False,False,True,False,False
133,rough_terrain,9.0956,1,True,False,False,False,False,False
134,rough_terrain,-9.6411,3,True,False,False,True,False,False
135,entrance_misclassification,1.97,1,True,False,False,True,False,False
136,post_collision,-11.8971,2,True,False,False,True,False,False
137,dynamic_obstacle,-9.2162,2,True,False,False,True,False,False
138,pedestrian,9.2039,1,True,False,False,False,False,False
139,dynamic_obstacle,-1.03,1,False,False,False,False,True,False
140,entrance_misclassification,-8.6342,2,True,False,False,True,False,False
141,post_collision,1.97,1,True,False,False,True,False,False
142,post_collision,9.4251,1,True,False,False,False,False,False
143,repeat_failure,1.97,1,True,False,False,True,False,False
144,rough_terrain,9.3971,1,True,False,False,False,False,False
145,repeat_failure,1.13,2,True,False,False,True,False,False
146,dynamic_obstacle,8.9207,1,True,False,False,False,False,False
147,post_collision,1.97,1,True,False,False,True,False,False
148,rough_terrain,-3.5885,2,True,False,False,False,False,False
149,dynamic_obstacle,1.97,1,True,False,False,True,False,False
150,entrance_misclassification,1.97,1,True,False,False,True,False,False
151,entrance_misclassification,-9.037,2,True,False,False,True,False,False
