Phase,Scene,Planner,Seed,Success,Length,Clearance,Time
point,w7,RRT*,15,True,48.278,0,0.0384
point,w7,RRT*,16,True,47.437,0,0.0323
point,w7,RRT*,17,True,47.106,0,0.0347
point,w7,RRT*,18,True,47.603,0,0.0378
point,w7,RRT*,19,True,47.357,0,0.0391
point,w7,RRT*,20,True,48.048,0,0.0313
point,w7,RRT*,21,True,47.412,0,0.0341
point,w7,RRT*,22,True,47.168,0,0.0381
point,w7,RRT*,23,True,47.969,0,0.0363
point,w7,RRT*,24,True,48.39,0,0.0373
point,w7,RRT*,25,True,50.029,0,0.0348
point,w7,RRT*,26,True,47.884,0,0.0391
point,w7,RRT*,27,True,47.088,0,0.0393
point,w7,RRT*,28,True,47.598,0,0.0327
point,w7,RRT*,29,True,47.624,0,0.0362
point,w7,RRT*,30,True,47.871,0,0.0368
point,w7,RRT*,31,True,49.021,0,0.0367
point,w7,RRT*,32,True,47.39,0,0.0374
point,w7,RRT*,33,True,48.917,0,0.0341
point,w7,RRT*,34,True,47.537,0,0.0382
point,w7,RRT*,35,True,47.374,0,0.0364
point,w7,RRT*,36,True,47.649,0,0.0354
point,w7,RRT*,37,True,48.654,0,0.0414
point,w7,RRT*,38,True,47.927,0,0.0352
point,w7,RRT*,39,True,48.458,0,0.0372
point,w7,RRT*,40,True,47.593,0,0.04
point,w7,RRT*,41,True,47.802,0,0.0355
point,w7,RRT*,42,True,47.589,1,0.0407
point,w7,RRT*,43,True,47.242,0,0.0356
point,w7,RRT*,44,True,48.169,0,0.0393
point,w7,RRT*,45,True,47.861,1,0.0358
point,w7,RRT*,46,True,47.687,0,0.0416
point,w7,RRT*,47,True,47.404,0,0.0374
point,w7,RRT*,48,True,47.324,0,0.0362
point,w7,RRT*,49,True,47.898,0,0.0359
point,w7,RRT*,50,True,47.382,0,0.0334
point,w7,RRT*,51,True,47.263,0,0.0395
point,w7,RRT*,52,True,50.294,0,0.0353
point,w7,RRT*,53,True,47.158,0,0.038
point,w7,RRT*,54,True,48.145,0,0.0355
point,w7,RRT*,55,True,48.479,0,0.0376
point,w7,RRT*,56,True,48.504,1,0.0355
point,w7,RRT*,57,True,47.293,0,0.069
point,w7,RRT*,58,True,47.244,0,0.0331
point,w7,RRT*,59,True,47.152,0,0.0448
point,w7,RRT*,60,True,48.194,0,0.0357
point,w7,RRT*,61,True,48.345,0,0.0351
point,w7,RRT*,62,True,48.445,0,0.0343
point,w7,RRT*,63,True,48.479,0,0.0337
point,w7,RRT*,64,True,48.155,0,0.0338
point,w7,RRT*,65,True,47.392,0,0.0383
point,w7,RRT*,66,True,48.119,0,0.0338
point,w7,RRT*,67,True,48.023,0,0.0359
point,w7,RRT*,68,True,48.071,0,0.0354
point,w7,RRT*,69,True,47.118,0,0.0334
point,w7,RRT*,70,True,48.281,0,0.0373
point,w7,RRT*,71,True,49.61,0,0.0359
point,w7,RRT*,72,True,48.087,1,0.0425
point,w7,RRT*,73,True,47.19,0,0.0566
point,w7,RRT*,74,True,47.409,0,0.0459
point,w7,RRT*,75,True,47.63,0,0.0326
point,w7,RRT*,76,True,47.202,0,0.0568
point,w7,RRT*,77,True,47.367,0,0.0326
point,w7,RRT*,78,True,47.35,0,0.0373
point,w7,RRT*,79,True,47.521,0,0.0376
point,w7,RRT*,80,True,48.088,0,0.0324
point,w7,RRT*,81,True,49.431,0,0.0326
point,w7,RRT*,82,True,48.681,0,0.0331
point,w7,RRT*,83,True,47.444,0,0.0388
point,w7,RRT*,84,True,48.421,1,0.0391
point,w7,RRT*,85,True,47.439,0,0.0352
point,w7,RRT*,86,True,47.539,0,0.0386
point,w7,RRT*,87,True,47.789,0,0.0343
point,w7,RRT*,88,True,47.898,0,0.0353
point,w7,RRT*,89,True,47.333,0,0.0315
point,w7,RRT*,90,True,48.097,0,0.0358
point,w7,RRT*,91,True,47.205,0,0.0362
point,w7,RRT*,92,True,48.988,1,0.034
point,w7,RRT*,93,True,47.585,0,0.0391
point,w7,RRT*,94,True,52.251,0,0.0372
point,w7,RRT*,95,True,47.706,0,0.0366
point,w7,RRT*,96,True,48.412,0,0.0439
point,w7,RRT*,97,True,47.574,1,0.0382
point,w7,RRT*,98,True,47.308,0,0.0365
point,w7,RRT*,99,True,47.699,0,0.031
point,w6,RRT,0,True,56.219,0,0.0061
point,w6,RRT,1,True,63.262,0,0.0032
point,w6,RRT,2,True,54.612,1,0.0027
point,w6,RRT,3,True,64.534,0,0.0028
point,w6,RRT,4,True,58.36,0,0.0041
point,w6,RRT,5,True,57.355,0,0.0036
point,w6,RRT,6,True,52.995,0,0.0004
point,w6,RRT,7,True,53.873,0,0.001
point,w6,RRT,8,True,59.634,0,0.0025
point,w6,RRT,9,True,61.273,0,0.0057
point,w6,RRT,10,True,51.842,0,0.0028
point,w6,RRT,11,True,62.956,0,0.0044
point,w6,RRT,12,True,59.171,0,0.0071
point,w6,RRT,13,True,51.802,0,0.0012
point,w6,RRT,14,True,64.178,0,0.0031
point,w6,RRT,15,True,61.2,1,0.006
point,w6,RRT,16,True,61.216,1,0.0156
point,w6,RRT,17,True,52.451,0,0.0005
point,w6,RRT,18,True,61.344,0,0.0042
point,w6,RRT,19,True,56.833,0,0.0038
point,w6,RRT,20,True,58.439,0,0.0017
point,w6,RRT,21,True,55.784,0,0.0034
point,w6,RRT,22,True,59.418,0,0.0082
point,w6,RRT,23,True,54.064,0,0.0038
point,w6,RRT,24,True,54.434,1,0.0031
point,w6,RRT,25,True,56.535,0,0.0058
point,w6,RRT,26,True,59.207,0,0.0044
point,w6,RRT,27,True,56.091,0,0.0074
point,w6,RRT,28,True,57.353,0,0.0012
point,w6,RRT,29,True,59.514,0,0.0082
point,w6,RRT,30,True,56.289,0,0.0028
point,w6,RRT,31,True,51.427,0,0.0018
point,w6,RRT,32,True,59.065,0,0.0077
point,w6,RRT,33,True,59.999,0,0.0066
point,w6,RRT,34,True,54.228,0,0.0015
point,w6,RRT,35,True,50.704,0,0.0017
point,w6,RRT,36,True,59.678,0,0.0039
point,w6,RRT,37,True,59.662,0,0.0046
point,w6,RRT,38,True,52.758,0,0.0005
point,w6,RRT,39,True,57.574,1,0.0056
point,w6,RRT,40,True,58.555,0,0.004
point,w6,RRT,41,True,60.433,1,0.0034
point,w6,RRT,42,True,54.329,0,0.0036
point,w6,RRT,43,True,55.944,0,0.0023
point,w6,RRT,44,True,55.227,0,0.0008
point,w6,RRT,45,True,62.099,1,0.0023
point,w6,RRT,46,True,62.21,0,0.0029
point,w6,RRT,47,True,53.803,0,0.0006
point,w6,RRT,48,True,54.117,0,0.0058
point,w6,RRT,49,True,57.44,0,0.005
point,w6,RRT,50,True,60.884,0,0.0079
point,w6,RRT,51,True,65.775,0,0.0017
point,w6,RRT,52,True,60.272,0,0.0026
point,w6,RRT,53,True,57.561,0,0.0011
point,w6,RRT,54,True,52.352,0,0.0059
point,w6,RRT,55,True,61.505,0,0.003
point,w6,RRT,56,True,56.137,0,0.0016
point,w6,RRT,57,True,58.008,0,0.0017
point,w6,RRT,58,True,57.402,0,0.001
point,w6,RRT,59,True,56.219,0,0.0026
point,w6,RRT,60,True,62.946,0,0.004
point,w6,RRT,61,True,65.418,0,0.0063
point,w6,RRT,62,True,60.367,0,0.0039
point,w6,RRT,63,True,59.45,0,0.0047
point,w6,RRT,64,True,58.182,0,0.0059
point,w6,RRT,65,True,55.954,0,0.0007
point,w6,RRT,66,True,58.933,0,0.006
point,w6,RRT,67,True,56.451,0,0.003
point,w6,RRT,68,True,62.424,0,0.0081
point,w6,RRT,69,True,58.36,0,0.0059
point,w6,RRT,70,True,63.897,0,0.0067
point,w6,RRT,71,True,63.344,0,0.0046
point,w6,RRT,72,True,69.369,0,0.0039
point,w6,RRT,73,True,59.767,0,0.0039
point,w6,RRT,74,True,57.687,0,0.0043
point,w6,RRT,75,True,51.517,0,0.0033
point,w6,RRT,76,True,58.026,0,0.0032
point,w6,RRT,77,True,60.435,0,0.006
point,w6,RRT,78,True,62.694,0,0.0033
point,w6,RRT,79,True,55.543,0,0.0059
point,w6,RRT,80,True,64.11,0,0.0091
point,w6,RRT,81,True,65.27,0,0.0034
point,w6,RRT,82,True,65.784,0,0.0051
point,w6,RRT,83,True,57.23,0,0.0109
point,w6,RRT,84,True,57.84,0,0.0034
point,w6,RRT,85,True,61.523,0,0.004
point,w6,RRT,86,True,53.514,0,0.0038
point,w6,RRT,87,True,51.485,0,0.0004
point,w6,RRT,88,True,58.108,0,0.0025
point,w6,RRT,89,True,61.964,0,0.0025
point,w6,RRT,90,True,54.946,0,0.0039
point,w6,RRT,91,True,58.679,0,0.0056
point,w6,RRT,92,True,53.731,0,0.0022
point,w6,RRT,93,True,67.932,0,0.0081
point,w6,RRT,94,True,62.902,0,0.0087
point,w6,RRT,95,True,56.627,0,0.003
point,w6,RRT,96,True,58.723,1,0.0046
point,w6,RRT,97,True,56.463,0,0.0054
point,w6,RRT,98,True,63.317,1,0.0044
point,w6,RRT,99,True,60.182,0,0.0043
point,w6,RRT*,0,True,48.533,0,0.0262
point,w6,RRT*,1,True,49.783,0,0.034
point,w6,RRT*,2,True,48.323,1,0.0359
point,w6,RRT*,3,True,47.859,0,0.036
point,w6,RRT*,4,True,48.059,0,0.0363
