Suite,Variant,Seed,Mission,Attempt,TrajectoryType,Planned,Executable,Collision,UsedFailedPassage,Replans,WaitSteps,TimeSteps,PathLength,MinClearance,PredictionMAE,MeanRiskRadius,ExpandedStates,MeanPlanningTime,TotalCost
dataset-hidden-blockage,RPP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0737,226.042
dataset-hidden-blockage,RPP proxy + random retry,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0727,221.042
dataset-hidden-blockage,RPP proxy + random retry,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.0728,226.042
dataset-hidden-blockage,RPP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.0718,221.042
dataset-hidden-blockage,RPP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,121.042,0,0.0,0.0,0,0.0708,126.042
dataset-hidden-blockage,ATR proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0745,220.456
dataset-hidden-blockage,ATR proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,0.0741,225.456
dataset-hidden-blockage,ATR proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,0.0741,220.456
dataset-hidden-blockage,ATR proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,119.87,0,0.0,0.0,0,0.0731,124.87
dataset-hidden-blockage,DDP proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.258,221.042
dataset-hidden-blockage,DDP proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,121.042,0,0.0,0.0,0,0.2582,226.042
dataset-hidden-blockage,DDP proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,121.042,0,0.0,0.0,0,0.258,221.042
dataset-hidden-blockage,DDP proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,121.042,0,0.0,0.0,0,0.2573,126.042
dataset-hidden-blockage,RTEB proxy,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1267,220.456
dataset-hidden-blockage,RTEB proxy,1,1,2,"(234, 159)",True,False,True,True,1,0,0,120.456,0,0.0,0.0,0,2.1011,225.456
dataset-hidden-blockage,RTEB proxy + failure memory,1,1,1,"(234, 159)",True,False,True,True,0,0,0,120.456,0,0.0,0.0,0,2.1177,220.456
dataset-hidden-blockage,RTEB proxy + failure memory,1,1,2,"(234, 159)",True,True,False,False,1,0,0,119.87,0,0.0,0.0,0,2.0286,124.87
