Variant,MatchedAnchor,MatchSimilarity,TransferredCells,TruthExecutable,UsedTargetFailedPassage,Success,Replans,WaitSteps,TimeSteps,PathLength,PredictionMAE,TotalCost
Space-Time without semantic memory,"(31, 13)",1.0,0,False,True,True,46,0,46,50.556,0.6416,142.556
Space-Time with semantic-anchor memory,"(31, 13)",1.0,45,True,False,True,42,1,42,47.627,0.641,134.627
