Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Executable,UsedShortPassage,Length,RememberedCells
A* baseline,3,5,2,"(5, 9)","(44, 6)",15,False,True,40.243,0
A* baseline,4,1,1,"(5, 6)","(44, 9)",16,False,True,40.243,0
A* baseline,4,1,2,"(5, 6)","(44, 9)",16,False,True,40.243,0
A* baseline,4,2,1,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,4,2,2,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,4,3,1,"(5, 9)","(44, 8)",15,False,True,40.243,0
A* baseline,4,3,2,"(5, 9)","(44, 8)",15,False,True,40.243,0
A* baseline,4,4,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,4,4,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,4,5,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,4,5,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,5,1,1,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,5,1,2,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,5,2,1,"(5, 9)","(44, 9)",16,False,True,40.657,0
A* baseline,5,2,2,"(5, 9)","(44, 9)",16,False,True,40.657,0
A* baseline,5,3,1,"(5, 8)","(44, 5)",17,False,True,40.243,0
A* baseline,5,3,2,"(5, 8)","(44, 5)",17,False,True,40.243,0
A* baseline,5,4,1,"(5, 8)","(44, 7)",17,False,True,39.414,0
A* baseline,5,4,2,"(5, 8)","(44, 7)",17,False,True,39.414,0
A* baseline,5,5,1,"(5, 6)","(44, 7)",15,False,True,39.414,0
A* baseline,5,5,2,"(5, 6)","(44, 7)",15,False,True,39.414,0
A* baseline,6,1,1,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,6,1,2,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,6,2,1,"(5, 9)","(44, 7)",16,False,True,39.828,0
A* baseline,6,2,2,"(5, 9)","(44, 7)",16,False,True,39.828,0
A* baseline,6,3,1,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,6,3,2,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,6,4,1,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,6,4,2,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,6,5,1,"(5, 5)","(44, 9)",17,False,True,40.657,0
A* baseline,6,5,2,"(5, 5)","(44, 9)",17,False,True,40.657,0
A* baseline,7,1,1,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,7,1,2,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,7,2,1,"(5, 9)","(44, 6)",15,False,True,40.243,0
A* baseline,7,2,2,"(5, 9)","(44, 6)",15,False,True,40.243,0
A* baseline,7,3,1,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,7,3,2,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,7,4,1,"(5, 7)","(44, 8)",16,False,True,39.414,0
A* baseline,7,4,2,"(5, 7)","(44, 8)",16,False,True,39.414,0
A* baseline,7,5,1,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,7,5,2,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,8,1,1,"(5, 9)","(44, 5)",16,False,True,40.657,0
A* baseline,8,1,2,"(5, 9)","(44, 5)",16,False,True,40.657,0
A* baseline,8,2,1,"(5, 9)","(44, 7)",15,False,True,39.828,0
A* baseline,8,2,2,"(5, 9)","(44, 7)",15,False,True,39.828,0
A* baseline,8,3,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,8,3,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,8,4,1,"(5, 7)","(44, 5)",17,False,True,39.828,0
A* baseline,8,4,2,"(5, 7)","(44, 5)",17,False,True,39.828,0
A* baseline,8,5,1,"(5, 6)","(44, 7)",15,False,True,39.414,0
A* baseline,8,5,2,"(5, 6)","(44, 7)",15,False,True,39.414,0
A* baseline,9,1,1,"(5, 7)","(44, 8)",15,False,True,39.414,0
A* baseline,9,1,2,"(5, 7)","(44, 8)",15,False,True,39.414,0
A* baseline,9,2,1,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,9,2,2,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,9,3,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,9,3,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,9,4,1,"(5, 9)","(44, 9)",17,False,True,40.657,0
A* baseline,9,4,2,"(5, 9)","(44, 9)",17,False,True,40.657,0
A* baseline,9,5,1,"(5, 5)","(44, 5)",15,False,True,40.657,0
A* baseline,9,5,2,"(5, 5)","(44, 5)",15,False,True,40.657,0
A* baseline,10,1,1,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,10,1,2,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,10,2,1,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,10,2,2,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,10,3,1,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,10,3,2,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,10,4,1,"(5, 9)","(44, 5)",15,False,True,40.657,0
A* baseline,10,4,2,"(5, 9)","(44, 5)",15,False,True,40.657,0
A* baseline,10,5,1,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,10,5,2,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,11,1,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,11,1,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,11,2,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,11,2,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,11,3,1,"(5, 9)","(44, 5)",16,False,True,40.657,0
A* baseline,11,3,2,"(5, 9)","(44, 5)",16,False,True,40.657,0
A* baseline,11,4,1,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,11,4,2,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,11,5,1,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,11,5,2,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,12,1,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,12,1,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,12,2,1,"(5, 8)","(44, 5)",17,False,True,40.243,0
A* baseline,12,2,2,"(5, 8)","(44, 5)",17,False,True,40.243,0
A* baseline,12,3,1,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,12,3,2,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,12,4,1,"(5, 7)","(44, 7)",17,False,True,39.0,0
A* baseline,12,4,2,"(5, 7)","(44, 7)",17,False,True,39.0,0
A* baseline,12,5,1,"(5, 8)","(44, 9)",15,False,True,40.243,0
A* baseline,12,5,2,"(5, 8)","(44, 9)",15,False,True,40.243,0
A* baseline,13,1,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,13,1,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,13,2,1,"(5, 6)","(44, 6)",16,False,True,39.828,0
A* baseline,13,2,2,"(5, 6)","(44, 6)",16,False,True,39.828,0
A* baseline,13,3,1,"(5, 9)","(44, 7)",15,False,True,39.828,0
A* baseline,13,3,2,"(5, 9)","(44, 7)",15,False,True,39.828,0
A* baseline,13,4,1,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,13,4,2,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,13,5,1,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,13,5,2,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,14,1,1,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,14,1,2,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,14,2,1,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,14,2,2,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,14,3,1,"(5, 7)","(44, 6)",17,False,True,39.414,0
A* baseline,14,3,2,"(5, 7)","(44, 6)",17,False,True,39.414,0
A* baseline,14,4,1,"(5, 5)","(44, 8)",17,False,True,40.243,0
A* baseline,14,4,2,"(5, 5)","(44, 8)",17,False,True,40.243,0
A* baseline,14,5,1,"(5, 5)","(44, 7)",17,False,True,39.828,0
A* baseline,14,5,2,"(5, 5)","(44, 7)",17,False,True,39.828,0
A* baseline,15,1,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,15,1,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,15,2,1,"(5, 6)","(44, 6)",16,False,True,39.828,0
A* baseline,15,2,2,"(5, 6)","(44, 6)",16,False,True,39.828,0
A* baseline,15,3,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,15,3,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,15,4,1,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,15,4,2,"(5, 7)","(44, 9)",17,False,True,39.828,0
A* baseline,15,5,1,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,15,5,2,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,16,1,1,"(5, 7)","(44, 8)",17,False,True,39.414,0
A* baseline,16,1,2,"(5, 7)","(44, 8)",17,False,True,39.414,0
A* baseline,16,2,1,"(5, 8)","(44, 5)",15,False,True,40.243,0
A* baseline,16,2,2,"(5, 8)","(44, 5)",15,False,True,40.243,0
A* baseline,16,3,1,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,16,3,2,"(5, 9)","(44, 6)",17,False,True,40.243,0
A* baseline,16,4,1,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,16,4,2,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,16,5,1,"(5, 6)","(44, 8)",16,False,True,39.828,0
A* baseline,16,5,2,"(5, 6)","(44, 8)",16,False,True,39.828,0
A* baseline,17,1,1,"(5, 9)","(44, 8)",15,False,True,40.243,0
A* baseline,17,1,2,"(5, 9)","(44, 8)",15,False,True,40.243,0
A* baseline,17,2,1,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,17,2,2,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,17,3,1,"(5, 5)","(44, 6)",16,False,True,40.243,0
A* baseline,17,3,2,"(5, 5)","(44, 6)",16,False,True,40.243,0
A* baseline,17,4,1,"(5, 5)","(44, 7)",17,False,True,39.828,0
A* baseline,17,4,2,"(5, 5)","(44, 7)",17,False,True,39.828,0
A* baseline,17,5,1,"(5, 6)","(44, 8)",17,False,True,39.828,0
A* baseline,17,5,2,"(5, 6)","(44, 8)",17,False,True,39.828,0
A* baseline,18,1,1,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,18,1,2,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,18,2,1,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,18,2,2,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,18,3,1,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,18,3,2,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,18,4,1,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,18,4,2,"(5, 5)","(44, 8)",15,False,True,40.243,0
A* baseline,18,5,1,"(5, 9)","(44, 5)",17,False,True,40.657,0
A* baseline,18,5,2,"(5, 9)","(44, 5)",17,False,True,40.657,0
A* baseline,19,1,1,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,19,1,2,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,19,2,1,"(5, 8)","(44, 7)",15,False,True,39.414,0
A* baseline,19,2,2,"(5, 8)","(44, 7)",15,False,True,39.414,0
A* baseline,19,3,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,19,3,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
A* baseline,19,4,1,"(5, 5)","(44, 9)",17,False,True,40.657,0
A* baseline,19,4,2,"(5, 5)","(44, 9)",17,False,True,40.657,0
A* baseline,19,5,1,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,19,5,2,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,20,1,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,20,1,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,20,2,1,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,20,2,2,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,20,3,1,"(5, 8)","(44, 8)",17,False,True,39.828,0
A* baseline,20,3,2,"(5, 8)","(44, 8)",17,False,True,39.828,0
A* baseline,20,4,1,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,20,4,2,"(5, 5)","(44, 5)",16,False,True,40.657,0
A* baseline,20,5,1,"(5, 8)","(44, 5)",16,False,True,40.243,0
A* baseline,20,5,2,"(5, 8)","(44, 5)",16,False,True,40.243,0
A* baseline,21,1,1,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,21,1,2,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,21,2,1,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,21,2,2,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,21,3,1,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,21,3,2,"(5, 7)","(44, 5)",15,False,True,39.828,0
A* baseline,21,4,1,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,21,4,2,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,21,5,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,21,5,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
A* baseline,22,1,1,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,22,1,2,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,22,2,1,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,22,2,2,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,22,3,1,"(5, 8)","(44, 8)",16,False,True,39.828,0
A* baseline,22,3,2,"(5, 8)","(44, 8)",16,False,True,39.828,0
A* baseline,22,4,1,"(5, 9)","(44, 6)",15,False,True,40.243,0
A* baseline,22,4,2,"(5, 9)","(44, 6)",15,False,True,40.243,0
A* baseline,22,5,1,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,22,5,2,"(5, 8)","(44, 9)",16,False,True,40.243,0
A* baseline,23,1,1,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,23,1,2,"(5, 5)","(44, 6)",15,False,True,40.243,0
A* baseline,23,2,1,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,23,2,2,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,23,3,1,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,23,3,2,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,23,4,1,"(5, 9)","(44, 5)",15,False,True,40.657,0
A* baseline,23,4,2,"(5, 9)","(44, 5)",15,False,True,40.657,0
A* baseline,23,5,1,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,23,5,2,"(5, 7)","(44, 6)",15,False,True,39.414,0
A* baseline,24,1,1,"(5, 9)","(44, 7)",16,False,True,39.828,0
A* baseline,24,1,2,"(5, 9)","(44, 7)",16,False,True,39.828,0
A* baseline,24,2,1,"(5, 8)","(44, 9)",15,False,True,40.243,0
A* baseline,24,2,2,"(5, 8)","(44, 9)",15,False,True,40.243,0
A* baseline,24,3,1,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,24,3,2,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,24,4,1,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,24,4,2,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,24,5,1,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,24,5,2,"(5, 6)","(44, 9)",17,False,True,40.243,0
A* baseline,25,1,1,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,25,1,2,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,25,2,1,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,25,2,2,"(5, 7)","(44, 7)",16,False,True,39.0,0
A* baseline,25,3,1,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,25,3,2,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,25,4,1,"(5, 8)","(44, 8)",16,False,True,39.828,0
A* baseline,25,4,2,"(5, 8)","(44, 8)",16,False,True,39.828,0
A* baseline,25,5,1,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,25,5,2,"(5, 7)","(44, 5)",16,False,True,39.828,0
A* baseline,26,1,1,"(5, 5)","(44, 8)",16,False,True,40.243,0
A* baseline,26,1,2,"(5, 5)","(44, 8)",16,False,True,40.243,0
A* baseline,26,2,1,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,26,2,2,"(5, 5)","(44, 7)",16,False,True,39.828,0
A* baseline,26,3,1,"(5, 6)","(44, 6)",17,False,True,39.828,0
A* baseline,26,3,2,"(5, 6)","(44, 6)",17,False,True,39.828,0
A* baseline,26,4,1,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,26,4,2,"(5, 9)","(44, 8)",17,False,True,40.243,0
A* baseline,26,5,1,"(5, 5)","(44, 5)",15,False,True,40.657,0
A* baseline,26,5,2,"(5, 5)","(44, 5)",15,False,True,40.657,0
A* baseline,27,1,1,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,27,1,2,"(5, 6)","(44, 6)",15,False,True,39.828,0
A* baseline,27,2,1,"(5, 8)","(44, 5)",15,False,True,40.243,0
A* baseline,27,2,2,"(5, 8)","(44, 5)",15,False,True,40.243,0
A* baseline,27,3,1,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,27,3,2,"(5, 8)","(44, 9)",17,False,True,40.243,0
A* baseline,27,4,1,"(5, 7)","(44, 8)",16,False,True,39.414,0
A* baseline,27,4,2,"(5, 7)","(44, 8)",16,False,True,39.414,0
A* baseline,27,5,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,27,5,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
A* baseline,28,1,1,"(5, 5)","(44, 7)",15,False,True,39.828,0
A* baseline,28,1,2,"(5, 5)","(44, 7)",15,False,True,39.828,0
A* baseline,28,2,1,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,28,2,2,"(5, 7)","(44, 9)",15,False,True,39.828,0
A* baseline,28,3,1,"(5, 8)","(44, 6)",16,False,True,39.828,0
A* baseline,28,3,2,"(5, 8)","(44, 6)",16,False,True,39.828,0
A* baseline,28,4,1,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,28,4,2,"(5, 5)","(44, 5)",17,False,True,40.657,0
A* baseline,28,5,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,28,5,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
A* baseline,29,1,1,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,29,1,2,"(5, 6)","(44, 5)",16,False,True,40.243,0
A* baseline,29,2,1,"(5, 8)","(44, 7)",15,False,True,39.414,0
A* baseline,29,2,2,"(5, 8)","(44, 7)",15,False,True,39.414,0
A* baseline,29,3,1,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,29,3,2,"(5, 5)","(44, 6)",17,False,True,40.243,0
A* baseline,29,4,1,"(5, 6)","(44, 5)",15,False,True,40.243,0
A* baseline,29,4,2,"(5, 6)","(44, 5)",15,False,True,40.243,0
A* baseline,29,5,1,"(5, 8)","(44, 8)",16,False,True,39.828,0
A* baseline,29,5,2,"(5, 8)","(44, 8)",16,False,True,39.828,0
Clearance-aware A*,0,1,1,"(5, 8)","(44, 8)",15,False,True,39.828,0
Clearance-aware A*,0,1,2,"(5, 8)","(44, 8)",15,False,True,39.828,0
Clearance-aware A*,0,2,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
Clearance-aware A*,0,2,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
Clearance-aware A*,0,3,1,"(5, 8)","(44, 7)",16,False,True,39.414,0
Clearance-aware A*,0,3,2,"(5, 8)","(44, 7)",16,False,True,39.414,0
Clearance-aware A*,0,4,1,"(5, 7)","(44, 9)",15,False,True,39.828,0
Clearance-aware A*,0,4,2,"(5, 7)","(44, 9)",15,False,True,39.828,0
Clearance-aware A*,0,5,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
Clearance-aware A*,0,5,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
Clearance-aware A*,1,1,1,"(5, 6)","(44, 5)",17,False,True,40.243,0
Clearance-aware A*,1,1,2,"(5, 6)","(44, 5)",17,False,True,40.243,0
Clearance-aware A*,1,2,1,"(5, 7)","(44, 9)",17,False,True,39.828,0
Clearance-aware A*,1,2,2,"(5, 7)","(44, 9)",17,False,True,39.828,0
Clearance-aware A*,1,3,1,"(5, 9)","(44, 6)",16,False,True,40.243,0
Clearance-aware A*,1,3,2,"(5, 9)","(44, 6)",16,False,True,40.243,0
Clearance-aware A*,1,4,1,"(5, 5)","(44, 5)",17,False,True,40.657,0
Clearance-aware A*,1,4,2,"(5, 5)","(44, 5)",17,False,True,40.657,0
Clearance-aware A*,1,5,1,"(5, 7)","(44, 8)",17,False,True,39.414,0
Clearance-aware A*,1,5,2,"(5, 7)","(44, 8)",17,False,True,39.414,0
Clearance-aware A*,2,1,1,"(5, 5)","(44, 7)",16,False,True,39.828,0
Clearance-aware A*,2,1,2,"(5, 5)","(44, 7)",16,False,True,39.828,0
Clearance-aware A*,2,2,1,"(5, 7)","(44, 9)",17,False,True,39.828,0
Clearance-aware A*,2,2,2,"(5, 7)","(44, 9)",17,False,True,39.828,0
Clearance-aware A*,2,3,1,"(5, 6)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,2,3,2,"(5, 6)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,2,4,1,"(5, 8)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,2,4,2,"(5, 8)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,2,5,1,"(5, 5)","(44, 9)",15,False,True,40.657,0
Clearance-aware A*,2,5,2,"(5, 5)","(44, 9)",15,False,True,40.657,0
Clearance-aware A*,3,1,1,"(5, 5)","(44, 8)",17,False,True,40.243,0
Clearance-aware A*,3,1,2,"(5, 5)","(44, 8)",17,False,True,40.243,0
Clearance-aware A*,3,2,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
Clearance-aware A*,3,2,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
Clearance-aware A*,3,3,1,"(5, 7)","(44, 6)",17,False,True,39.414,0
Clearance-aware A*,3,3,2,"(5, 7)","(44, 6)",17,False,True,39.414,0
Clearance-aware A*,3,4,1,"(5, 7)","(44, 5)",15,False,True,39.828,0
Clearance-aware A*,3,4,2,"(5, 7)","(44, 5)",15,False,True,39.828,0
Clearance-aware A*,3,5,1,"(5, 9)","(44, 6)",15,False,True,40.243,0
Clearance-aware A*,3,5,2,"(5, 9)","(44, 6)",15,False,True,40.243,0
Clearance-aware A*,4,1,1,"(5, 6)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,4,1,2,"(5, 6)","(44, 9)",16,False,True,40.243,0
Clearance-aware A*,4,2,1,"(5, 5)","(44, 5)",16,False,True,40.657,0
Clearance-aware A*,4,2,2,"(5, 5)","(44, 5)",16,False,True,40.657,0
Clearance-aware A*,4,3,1,"(5, 9)","(44, 8)",15,False,True,40.243,0
Clearance-aware A*,4,3,2,"(5, 9)","(44, 8)",15,False,True,40.243,0
Clearance-aware A*,4,4,1,"(5, 7)","(44, 9)",16,False,True,39.828,0
Clearance-aware A*,4,4,2,"(5, 7)","(44, 9)",16,False,True,39.828,0
Clearance-aware A*,4,5,1,"(5, 5)","(44, 9)",16,False,True,40.657,0
Clearance-aware A*,4,5,2,"(5, 5)","(44, 9)",16,False,True,40.657,0
