Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Planned,Executable,UsedShortPassage,Length,RememberedCells
A* repeated baseline,7,1,2,"(5, 8)","(44, 9)",16,True,False,True,40.243,0
A* repeated baseline,7,2,1,"(5, 9)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,7,2,2,"(5, 9)","(44, 6)",15,True,False,True,40.243,0
A* repeated baseline,7,3,1,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,7,3,2,"(5, 9)","(44, 8)",17,True,False,True,40.243,0
A* repeated baseline,7,4,1,"(5, 7)","(44, 8)",16,True,False,True,39.414,0
A* repeated baseline,7,4,2,"(5, 7)","(44, 8)",16,True,False,True,39.414,0
A* repeated baseline,7,5,1,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,7,5,2,"(5, 7)","(44, 5)",16,True,False,True,39.828,0
A* repeated baseline,8,1,1,"(5, 9)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,8,1,2,"(5, 9)","(44, 5)",16,True,False,True,40.657,0
A* repeated baseline,8,2,1,"(5, 9)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,8,2,2,"(5, 9)","(44, 7)",15,True,False,True,39.828,0
A* repeated baseline,8,3,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,8,3,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,8,4,1,"(5, 7)","(44, 5)",17,True,False,True,39.828,0
A* repeated baseline,8,4,2,"(5, 7)","(44, 5)",17,True,False,True,39.828,0
A* repeated baseline,8,5,1,"(5, 6)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,8,5,2,"(5, 6)","(44, 7)",15,True,False,True,39.414,0
A* repeated baseline,9,1,1,"(5, 7)","(44, 8)",15,True,False,True,39.414,0
A* repeated baseline,9,1,2,"(5, 7)","(44, 8)",15,True,False,True,39.414,0
A* repeated baseline,9,2,1,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,9,2,2,"(5, 5)","(44, 6)",17,True,False,True,40.243,0
A* repeated baseline,9,3,1,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,9,3,2,"(5, 6)","(44, 5)",17,True,False,True,40.243,0
A* repeated baseline,9,4,1,"(5, 9)","(44, 9)",17,True,False,True,40.657,0
A* repeated baseline,9,4,2,"(5, 9)","(44, 9)",17,True,False,True,40.657,0
A* repeated baseline,9,5,1,"(5, 5)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,9,5,2,"(5, 5)","(44, 5)",15,True,False,True,40.657,0
A* repeated baseline,10,1,1,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,10,1,2,"(5, 6)","(44, 9)",17,True,False,True,40.243,0
A* repeated baseline,10,2,1,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,10,2,2,"(5, 5)","(44, 8)",15,True,False,True,40.243,0
A* repeated baseline,10,3,1,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,10,3,2,"(5, 7)","(44, 5)",15,True,False,True,39.828,0
A* repeated baseline,10,4,1,"(5, 9)","(44, 5)",15,True,False,True,40.657,0
