Strategy,Seed,Mission,ObstacleX,ObstacleStart,ObstacleDuration,Success,Replans,WaitSteps,PathLength,TotalCost
Static plan,31,1,34,24,16,False,0,0,24.0,264.0
Static plan,31,2,38,26,18,False,0,0,26.0,266.0
Static plan,32,0,38,27,26,False,0,0,27.0,267.0
Static plan,32,1,30,18,20,False,0,0,18.0,258.0
Static plan,32,2,34,22,9,False,0,0,22.0,262.0
Static plan,33,0,30,18,16,False,0,0,18.0,258.0
Static plan,33,1,38,27,39,False,0,0,27.0,267.0
Static plan,33,2,30,20,8,False,0,0,20.0,260.0
Static plan,34,0,38,25,17,False,0,0,26.0,266.0
Static plan,34,1,30,20,45,False,0,0,20.0,260.0
Static plan,34,2,30,19,13,False,0,0,19.0,259.0
Static plan,35,0,26,15,41,False,0,0,15.0,255.0
Static plan,35,1,38,25,8,False,0,0,26.0,266.0
Static plan,35,2,38,25,45,False,0,0,26.0,266.0
Static plan,36,0,38,25,22,False,0,0,26.0,266.0
Static plan,36,1,30,18,13,False,0,0,18.0,258.0
Static plan,36,2,38,28,8,False,0,0,28.0,268.0
Static plan,37,0,38,26,37,False,0,0,26.0,266.0
Static plan,37,1,38,28,2,False,0,0,28.0,268.0
Static plan,37,2,30,17,34,False,0,0,18.0,258.0
Static plan,38,0,34,21,32,False,0,0,22.0,262.0
Static plan,38,1,26,16,7,False,0,0,16.0,256.0
Static plan,38,2,34,22,38,False,0,0,22.0,262.0
Static plan,39,0,30,18,12,False,0,0,18.0,258.0
Static plan,39,1,30,20,23,False,0,0,20.0,260.0
Static plan,39,2,38,27,23,False,0,0,27.0,267.0
Static plan,40,0,38,25,33,False,0,0,26.0,266.0
Static plan,40,1,34,24,43,False,0,0,24.0,264.0
Static plan,40,2,30,17,19,False,0,0,18.0,258.0
Static plan,41,0,26,13,29,False,0,0,14.0,254.0
Static plan,41,1,34,23,37,False,0,0,23.0,263.0
Static plan,41,2,38,27,35,False,0,0,27.0,267.0
Static plan,42,0,26,13,37,False,0,0,14.0,254.0
Static plan,42,1,34,23,24,False,0,0,23.0,263.0
Static plan,42,2,38,27,33,False,0,0,27.0,267.0
Static plan,43,0,26,14,7,False,0,0,14.0,254.0
Static plan,43,1,26,13,12,False,0,0,14.0,254.0
Static plan,43,2,38,26,24,False,0,0,26.0,266.0
Static plan,44,0,30,17,11,False,0,0,18.0,258.0
Static plan,44,1,38,27,21,False,0,0,27.0,267.0
Static plan,44,2,34,21,16,False,0,0,22.0,262.0
Static plan,45,0,34,21,10,False,0,0,22.0,262.0
Static plan,45,1,30,18,43,False,0,0,18.0,258.0
Static plan,45,2,26,14,18,False,0,0,14.0,254.0
Static plan,46,0,26,13,30,False,0,0,14.0,254.0
Static plan,46,1,38,25,3,False,0,0,26.0,266.0
Static plan,46,2,38,25,43,False,0,0,26.0,266.0
Static plan,47,0,34,23,20,False,0,0,23.0,263.0
Static plan,47,1,34,23,40,False,0,0,23.0,263.0
Static plan,47,2,38,25,36,False,0,0,26.0,266.0
Static plan,48,0,38,26,15,False,0,0,26.0,266.0
Static plan,48,1,26,13,40,False,0,0,14.0,254.0
Static plan,48,2,34,23,5,False,0,0,23.0,263.0
Static plan,49,0,38,27,6,False,0,0,27.0,267.0
Static plan,49,1,26,13,18,False,0,0,14.0,254.0
Static plan,49,2,26,16,30,False,0,0,16.0,256.0
Static plan,50,0,26,14,36,False,0,0,14.0,254.0
Static plan,50,1,26,13,15,False,0,0,14.0,254.0
Static plan,50,2,26,13,6,False,0,0,14.0,254.0
Static plan,51,0,26,13,41,False,0,0,14.0,254.0
Static plan,51,1,26,15,17,False,0,0,15.0,255.0
Static plan,51,2,26,13,20,False,0,0,14.0,254.0
Static plan,52,0,26,15,6,False,0,0,15.0,255.0
Static plan,52,1,34,21,28,False,0,0,22.0,262.0
Static plan,52,2,38,25,28,False,0,0,26.0,266.0
Static plan,53,0,30,19,5,False,0,0,19.0,259.0
Static plan,53,1,34,23,32,False,0,0,23.0,263.0
Static plan,53,2,34,23,16,False,0,0,23.0,263.0
Static plan,54,0,30,19,34,False,0,0,19.0,259.0
Static plan,54,1,26,13,16,False,0,0,14.0,254.0
Static plan,54,2,26,14,37,False,0,0,14.0,254.0
Static plan,55,0,38,27,14,False,0,0,27.0,267.0
Static plan,55,1,26,16,15,False,0,0,16.0,256.0
Static plan,55,2,34,22,25,False,0,0,22.0,262.0
Static plan,56,0,38,27,6,False,0,0,27.0,267.0
Static plan,56,1,34,23,23,False,0,0,23.0,263.0
Static plan,56,2,26,15,24,False,0,0,15.0,255.0
Static plan,57,0,26,16,42,False,0,0,16.0,256.0
Static plan,57,1,34,21,35,False,0,0,22.0,262.0
Static plan,57,2,34,23,15,False,0,0,23.0,263.0
Static plan,58,0,38,25,24,False,0,0,26.0,266.0
Static plan,58,1,34,23,37,False,0,0,23.0,263.0
Static plan,58,2,34,21,42,False,0,0,22.0,262.0
Static plan,59,0,38,25,20,False,0,0,26.0,266.0
Static plan,59,1,26,15,43,False,0,0,15.0,255.0
Static plan,59,2,38,28,20,False,0,0,28.0,268.0
Static plan,60,0,30,19,7,False,0,0,19.0,259.0
Static plan,60,1,38,27,29,False,0,0,27.0,267.0
Static plan,60,2,30,18,15,False,0,0,18.0,258.0
Static plan,61,0,30,17,35,False,0,0,18.0,258.0
Static plan,61,1,34,24,13,False,0,0,24.0,264.0
Static plan,61,2,26,13,19,False,0,0,14.0,254.0
Static plan,62,0,38,26,32,False,0,0,26.0,266.0
Static plan,62,1,34,23,8,False,0,0,23.0,263.0
Static plan,62,2,38,26,30,False,0,0,26.0,266.0
Static plan,63,0,34,21,36,False,0,0,22.0,262.0
Static plan,63,1,30,18,6,False,0,0,18.0,258.0
Static plan,63,2,30,18,13,False,0,0,18.0,258.0
Static plan,64,0,34,21,2,False,0,0,22.0,262.0
Static plan,64,1,30,20,29,False,0,0,20.0,260.0
Static plan,64,2,34,24,9,False,0,0,24.0,264.0
Static plan,65,0,38,26,33,False,0,0,26.0,266.0
Static plan,65,1,38,25,34,False,0,0,26.0,266.0
Static plan,65,2,38,27,33,False,0,0,27.0,267.0
Static plan,66,0,34,23,35,False,0,0,23.0,263.0
Static plan,66,1,30,18,7,False,0,0,18.0,258.0
Static plan,66,2,30,17,19,False,0,0,18.0,258.0
Static plan,67,0,34,22,45,False,0,0,22.0,262.0
Static plan,67,1,38,26,12,False,0,0,26.0,266.0
Static plan,67,2,34,22,36,False,0,0,22.0,262.0
Static plan,68,0,34,22,19,False,0,0,22.0,262.0
Static plan,68,1,38,25,3,False,0,0,26.0,266.0
Static plan,68,2,38,27,2,False,0,0,27.0,267.0
Static plan,69,0,30,20,31,False,0,0,20.0,260.0
Static plan,69,1,38,25,41,False,0,0,26.0,266.0
Static plan,69,2,38,25,3,False,0,0,26.0,266.0
Static plan,70,0,38,25,35,False,0,0,26.0,266.0
Static plan,70,1,38,27,33,False,0,0,27.0,267.0
Static plan,70,2,38,25,11,False,0,0,26.0,266.0
Static plan,71,0,38,27,5,False,0,0,27.0,267.0
Static plan,71,1,30,17,37,False,0,0,18.0,258.0
Static plan,71,2,30,20,12,False,0,0,20.0,260.0
Static plan,72,0,34,24,44,False,0,0,24.0,264.0
Static plan,72,1,38,28,43,False,0,0,28.0,268.0
Static plan,72,2,26,16,23,False,0,0,16.0,256.0
Static plan,73,0,38,26,45,False,0,0,26.0,266.0
Static plan,73,1,38,25,32,False,0,0,26.0,266.0
Static plan,73,2,38,28,34,False,0,0,28.0,268.0
Static plan,74,0,26,15,37,False,0,0,15.0,255.0
Static plan,74,1,38,28,14,False,0,0,28.0,268.0
Static plan,74,2,26,13,22,False,0,0,14.0,254.0
Static plan,75,0,38,25,20,False,0,0,26.0,266.0
Static plan,75,1,38,27,38,False,0,0,27.0,267.0
Static plan,75,2,34,22,8,False,0,0,22.0,262.0
Static plan,76,0,26,13,43,False,0,0,14.0,254.0
Static plan,76,1,38,28,30,False,0,0,28.0,268.0
Static plan,76,2,38,27,12,False,0,0,27.0,267.0
Static plan,77,0,34,24,5,False,0,0,24.0,264.0
Static plan,77,1,26,16,3,False,0,0,16.0,256.0
Static plan,77,2,26,13,10,False,0,0,14.0,254.0
Static plan,78,0,34,21,14,False,0,0,22.0,262.0
Static plan,78,1,34,23,37,False,0,0,23.0,263.0
Static plan,78,2,30,17,8,False,0,0,18.0,258.0
Static plan,79,0,26,16,15,False,0,0,16.0,256.0
Static plan,79,1,34,24,15,False,0,0,24.0,264.0
Static plan,79,2,34,23,44,False,0,0,23.0,263.0
Static plan,80,0,34,22,4,False,0,0,22.0,262.0
Static plan,80,1,30,19,20,False,0,0,19.0,259.0
Static plan,80,2,30,20,42,False,0,0,20.0,260.0
Static plan,81,0,38,25,18,False,0,0,26.0,266.0
Static plan,81,1,26,13,25,False,0,0,14.0,254.0
Static plan,81,2,30,18,45,False,0,0,18.0,258.0
Static plan,82,0,38,27,40,False,0,0,27.0,267.0
