Suite,Variant,Trials,Rows,ExecutableTasks,ExecutableRate,ExecutableCI95Low,ExecutableCI95High,CollisionRate,FailedPassageSelections,MeanAttemptsOrReplans,MeanWaitSteps,MeanPathLength,MeanClearance,MeanPredictionMAE,MeanExpandedStates,MeanPlanningTime,MeanTotalCost
dataset-hidden-blockage-very-hard,RPP proxy,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.1202,0.0,0.0,0.0,0.04633,223.6202
dataset-hidden-blockage-very-hard,RPP proxy + failure memory,5,10,2,0.4,0.1176,0.7693,0.8,9,1.5,0.0,123.9871,0.0,0.0,0.0,0.04914,206.4871
dataset-hidden-blockage-very-hard,RPP proxy + random retry,5,10,0,0.0,0.0,0.4345,1.0,10,1.5,0.0,121.1202,0.0,0.0,0.0,0.04655,223.6202
dataset-hidden-blockage-very-hard,RTEB proxy,5,9,1,0.2,0.0362,0.6245,0.8889,8,1.4444,0.0,120.8288,0.0,0.0,0.0,1.583744,211.9399
dataset-hidden-blockage-very-hard,RTEB proxy + failure memory,5,9,3,0.6,0.2307,0.8824,0.6667,7,1.4444,0.0,121.5449,0.0,0.0,0.0,1.5603,190.4338
dataset-static,ATR proxy,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,120.8856,0.0,0.0,0.0,0.0526,120.8856
dataset-static,ATR proxy + failure memory,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,120.8856,0.0,0.0,0.0,0.05242,120.8856
dataset-static,DDP proxy,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.2954,0.0,0.0,0.0,0.22854,121.2954
dataset-static,DDP proxy + failure memory,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.2954,0.0,0.0,0.0,0.22786,121.2954
dataset-static,Ours full,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.5888,0.0,0.0,0.0,1.28232,121.5888
dataset-static,RPP proxy,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.1202,0.0,0.0,0.0,0.05088,121.1202
dataset-static,RPP proxy + failure memory,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.1202,0.0,0.0,0.0,0.0464,121.1202
dataset-static,RPP proxy + random retry,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,121.1202,0.0,0.0,0.0,0.0466,121.1202
dataset-static,RTEB proxy,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,120.8856,0.0,0.0,0.0,1.53282,120.8856
dataset-static,RTEB proxy + failure memory,5,5,5,1.0,0.5655,1.0,0.0,0,1.0,0.0,120.8856,0.0,0.0,0.0,1.53438,120.8856
