PositionNoise,RiskScale,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
2.5,0.05,7,2,False,2,6,18.071,4.4452,1.6475,286.071
2.5,0.05,8,0,False,7,11,56.657,3.2887,1.6446,364.657
2.5,0.05,8,1,False,1,3,34.042,3.6082,1.6461,288.042
2.5,0.05,8,2,False,2,4,16.0,2.2527,1.648,278.0
2.5,0.05,9,0,False,1,3,3.0,8.3509,1.6462,257.0
2.5,0.05,9,1,False,3,9,25.243,4.0518,1.646,307.243
2.5,0.05,9,2,True,3,9,78.255,3.1342,1.6443,120.255
2.5,0.1,0,0,False,1,3,13.0,4.7998,1.7979,267.0
2.5,0.1,0,1,False,2,6,52.87,3.1288,1.7897,320.87
2.5,0.1,0,2,True,4,12,100.012,2.8201,1.788,156.012
2.5,0.1,1,0,False,1,3,22.0,3.8095,1.7935,276.0
2.5,0.1,1,1,True,2,8,79.284,3.2025,1.7884,113.284
2.5,0.1,1,2,True,3,8,103.77,3.5096,1.7879,142.77
2.5,0.1,2,0,False,7,12,36.414,3.9751,1.7904,347.414
2.5,0.1,2,1,False,1,3,61.941,3.1274,1.7894,315.941
2.5,0.1,2,2,True,3,9,96.941,3.1304,1.788,138.941
2.5,0.1,3,0,False,4,9,88.87,2.8437,1.7881,375.87
2.5,0.1,3,1,False,4,6,29.485,3.8024,1.7922,307.485
2.5,0.1,3,2,False,1,3,33.799,2.9707,1.792,287.799
2.5,0.1,4,0,True,5,12,114.74,3.2869,1.7878,175.74
2.5,0.1,4,1,False,2,6,44.657,3.393,1.7899,312.657
2.5,0.1,4,2,False,1,3,45.87,4.1707,1.7905,299.87
2.5,0.1,5,0,True,3,7,87.042,3.1693,1.7882,123.042
2.5,0.1,5,1,False,4,12,100.971,3.2116,1.7878,396.971
2.5,0.1,5,2,True,1,3,73.184,2.8114,1.7889,87.184
2.5,0.1,6,0,False,5,7,21.414,3.5334,1.7938,307.414
2.5,0.1,6,1,False,2,6,33.799,3.642,1.7917,301.799
2.5,0.1,6,2,True,2,7,101.627,3.392,1.7879,132.627
2.5,0.1,7,0,False,11,27,143.397,3.1608,1.7873,519.397
2.5,0.1,7,1,False,3,9,42.071,3.0205,1.79,324.071
2.5,0.1,7,2,False,2,6,18.071,4.4452,1.795,286.071
2.5,0.1,8,0,False,7,12,55.657,3.2887,1.7891,366.657
2.5,0.1,8,1,False,1,3,33.627,3.6082,1.7922,287.627
2.5,0.1,8,2,False,2,4,16.414,2.2527,1.796,278.414
2.5,0.1,9,0,False,1,3,3.0,8.3509,1.7923,257.0
2.5,0.1,9,1,False,4,7,23.071,4.5223,1.7935,304.071
2.5,0.1,9,2,False,2,6,44.799,3.3876,1.7902,312.799
2.5,0.15,0,0,False,1,3,13.0,4.7998,1.9469,267.0
2.5,0.15,0,1,False,2,6,52.87,3.1288,1.9346,320.87
2.5,0.15,0,2,True,4,12,100.012,2.8201,1.9319,156.012
2.5,0.15,1,0,False,1,3,22.0,3.8095,1.9403,276.0
2.5,0.15,1,1,True,2,8,79.284,3.2025,1.9326,113.284
2.5,0.15,1,2,True,3,8,103.77,3.5096,1.9319,142.77
2.5,0.15,2,0,False,7,12,36.414,3.9751,1.9356,347.414
2.5,0.15,2,1,False,1,3,61.941,3.1274,1.9341,315.941
2.5,0.15,2,2,True,3,9,96.941,3.1304,1.932,138.941
2.5,0.15,3,0,False,4,9,88.87,2.8437,1.9322,375.87
2.5,0.15,3,1,False,4,6,29.485,3.8024,1.9384,307.485
2.5,0.15,3,2,False,1,3,33.799,2.9707,1.938,287.799
2.5,0.15,4,0,True,3,11,105.527,3.2955,1.9317,153.527
2.5,0.15,4,1,False,2,6,44.657,3.393,1.9348,312.657
2.5,0.15,4,2,False,1,3,45.87,4.1707,1.9358,299.87
2.5,0.15,5,0,True,3,7,87.042,3.1693,1.9323,123.042
2.5,0.15,5,1,False,4,12,100.971,3.2116,1.9317,396.971
2.5,0.15,5,2,True,1,5,73.184,2.8325,1.9332,93.184
2.5,0.15,6,0,True,2,8,83.971,3.2629,1.9323,117.971
2.5,0.15,6,1,False,2,6,30.314,3.5686,1.9378,298.314
2.5,0.15,6,2,True,2,6,103.426,3.4057,1.932,131.426
2.5,0.15,7,0,False,9,21,112.77,3.1863,1.9315,460.77
2.5,0.15,7,1,False,1,3,14.414,3.4212,1.9458,268.414
2.5,0.15,7,2,False,2,6,53.627,3.3936,1.9344,321.627
2.5,0.15,8,0,True,3,8,111.142,3.1492,1.9315,150.142
2.5,0.15,8,1,False,2,5,20.0,3.8166,1.9408,285.0
2.5,0.15,8,2,True,1,3,76.698,2.8654,1.933,90.698
2.5,0.15,9,0,False,1,3,3.0,8.3509,1.9385,257.0
2.5,0.15,9,1,True,6,15,120.456,3.2927,1.9313,195.456
2.5,0.15,9,2,False,2,6,44.799,3.3876,1.9353,312.799
