PositionNoise,RiskScale,Seed,Mission,Success,Replans,WaitSteps,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
0.75,0.05,5,1,False,1,3,26.0,1.2489,1.5652,280.0
0.75,0.05,5,2,True,1,5,83.77,1.1973,1.5625,103.77
0.75,0.05,6,0,False,2,6,27.828,1.4682,1.5648,295.828
0.75,0.05,6,1,False,1,3,28.243,1.4357,1.5651,282.243
0.75,0.05,6,2,False,2,6,21.0,1.2958,1.5657,289.0
0.75,0.05,7,0,False,4,12,91.627,1.2884,1.5623,387.627
0.75,0.05,7,1,False,1,3,42.799,1.3952,1.564,296.799
0.75,0.05,7,2,False,3,9,42.899,1.2002,1.5635,324.899
0.75,0.05,8,0,True,3,6,111.627,1.147,1.5621,144.627
0.75,0.05,8,1,False,7,9,30.243,1.2087,1.5648,332.243
0.75,0.05,8,2,True,0,1,74.841,1.2626,1.5629,77.841
0.75,0.05,9,0,False,6,12,66.657,1.1619,1.5626,372.657
0.75,0.05,9,1,False,1,3,13.0,1.3294,1.5688,267.0
0.75,0.05,9,2,True,1,4,103.426,1.2379,1.5623,120.426
0.75,0.1,0,0,False,4,8,73.071,1.4026,1.6251,357.071
0.75,0.1,0,1,True,1,5,94.255,1.216,1.6248,114.255
0.75,0.1,0,2,False,1,3,25.0,1.0572,1.6307,279.0
0.75,0.1,1,0,True,2,8,95.042,1.3883,1.6245,129.042
0.75,0.1,1,1,True,2,7,86.657,1.1748,1.6246,117.657
0.75,0.1,1,2,True,1,5,95.042,1.3443,1.6246,115.042
0.75,0.1,2,0,True,2,5,99.042,1.3456,1.6245,124.042
0.75,0.1,2,1,True,6,12,183.669,1.2113,1.6233,249.669
0.75,0.1,2,2,True,2,8,89.87,1.1259,1.6247,123.87
0.75,0.1,3,0,False,2,6,33.657,1.1947,1.6285,301.657
0.75,0.1,3,1,True,2,6,76.497,1.301,1.6256,104.497
0.75,0.1,3,2,False,3,6,25.828,1.2719,1.6304,298.828
0.75,0.1,4,0,True,2,8,76.556,1.261,1.625,110.556
0.75,0.1,4,1,True,2,7,90.698,1.1366,1.6247,121.698
0.75,0.1,4,2,True,1,4,101.042,1.3651,1.6244,118.042
0.75,0.1,5,0,True,3,8,89.042,1.2561,1.6247,128.042
0.75,0.1,5,1,False,1,3,26.0,1.2489,1.6304,280.0
0.75,0.1,5,2,True,1,5,83.77,1.1973,1.6251,103.77
0.75,0.1,6,0,True,3,10,106.698,1.2259,1.6242,151.698
0.75,0.1,6,1,True,1,4,111.184,1.2837,1.6243,128.184
0.75,0.1,6,2,False,2,6,21.0,1.2958,1.6314,289.0
0.75,0.1,7,0,False,4,12,91.627,1.2884,1.6245,387.627
0.75,0.1,7,1,False,1,3,42.799,1.3952,1.628,296.799
0.75,0.1,7,2,False,3,9,42.899,1.2002,1.6271,324.899
0.75,0.1,8,0,True,3,10,109.971,1.1362,1.6241,154.971
0.75,0.1,8,1,False,3,5,22.414,1.1596,1.6318,292.414
0.75,0.1,8,2,False,2,3,15.828,1.0701,1.6367,274.828
0.75,0.1,9,0,False,6,12,66.657,1.1619,1.6253,372.657
0.75,0.1,9,1,False,1,3,13.0,1.3294,1.6377,267.0
0.75,0.1,9,2,True,1,4,103.426,1.2379,1.6245,120.426
0.75,0.15,0,0,False,4,8,73.071,1.4026,1.6877,357.071
0.75,0.15,0,1,True,1,4,94.255,1.217,1.6872,111.255
0.75,0.15,0,2,False,1,3,25.0,1.0572,1.6961,279.0
0.75,0.15,1,0,True,2,8,95.042,1.3883,1.6868,129.042
0.75,0.15,1,1,True,2,7,86.657,1.1748,1.6869,117.657
0.75,0.15,1,2,True,1,5,95.042,1.3443,1.6868,115.042
0.75,0.15,2,0,True,2,5,99.042,1.3456,1.6867,124.042
0.75,0.15,2,1,True,2,8,150.314,1.2103,1.6853,184.314
0.75,0.15,2,2,True,2,8,89.87,1.1259,1.687,123.87
0.75,0.15,3,0,False,2,6,33.657,1.1947,1.6928,301.657
0.75,0.15,3,1,True,2,6,76.497,1.301,1.6884,104.497
0.75,0.15,3,2,False,3,6,25.828,1.2719,1.6956,298.828
0.75,0.15,4,0,True,2,8,76.556,1.261,1.6875,110.556
0.75,0.15,4,1,True,4,9,91.527,1.1366,1.6871,138.527
0.75,0.15,4,2,True,1,4,101.042,1.3651,1.6866,118.042
0.75,0.15,5,0,False,1,3,14.0,1.6113,1.7051,268.0
0.75,0.15,5,1,False,6,15,165.912,1.2922,1.6852,480.912
0.75,0.15,5,2,True,6,17,131.627,1.1905,1.6856,212.627
0.75,0.15,6,0,True,3,10,104.213,1.2259,1.6863,149.213
0.75,0.15,6,1,False,1,3,17.0,1.4063,1.7016,271.0
0.75,0.15,6,2,False,1,3,46.314,1.2454,1.6908,300.314
0.75,0.15,7,0,False,4,12,91.627,1.2884,1.6868,387.627
0.75,0.15,7,1,False,1,3,42.799,1.3952,1.692,296.799
0.75,0.15,7,2,False,3,9,42.899,1.2002,1.6906,324.899
0.75,0.15,8,0,True,3,10,109.971,1.1362,1.6861,154.971
0.75,0.15,8,1,True,4,7,56.314,1.2807,1.6894,97.314
0.75,0.15,8,2,False,2,3,15.828,1.0701,1.7051,274.828
0.75,0.15,9,0,True,3,9,124.799,1.2191,1.6858,166.799
0.75,0.15,9,1,False,1,3,13.0,1.3294,1.7065,267.0
0.75,0.15,9,2,False,1,3,42.799,1.3255,1.692,296.799
1.5,0.01,0,0,False,3,6,28.0,2.483,1.5204,301.0
1.5,0.01,0,1,True,4,7,103.527,2.0752,1.5199,144.527
1.5,0.01,0,2,True,2,8,87.87,1.7913,1.52,121.87
1.5,0.01,1,0,False,1,3,23.0,2.4431,1.5206,277.0
1.5,0.01,1,1,True,2,8,117.527,1.9898,1.5199,151.527
1.5,0.01,1,2,True,3,7,103.184,2.2957,1.5199,139.184
1.5,0.01,2,0,True,8,15,175.184,2.2752,1.5198,260.184
1.5,0.01,2,1,False,7,18,105.728,2.0986,1.5199,434.728
1.5,0.01,2,2,True,1,5,73.184,1.9246,1.5201,93.184
1.5,0.01,3,0,True,3,9,93.527,1.9536,1.52,135.527
1.5,0.01,3,1,True,5,9,124.841,2.1412,1.5199,176.841
1.5,0.01,3,2,True,1,5,56.314,1.9856,1.5201,76.314
1.5,0.01,4,0,True,2,6,56.314,2.0058,1.5201,84.314
1.5,0.01,4,1,True,1,3,73.184,1.9727,1.5201,87.184
1.5,0.01,4,2,True,2,6,131.971,2.3116,1.5199,159.971
1.5,0.01,5,0,False,1,3,14.0,2.8251,1.5211,268.0
1.5,0.01,5,1,False,15,21,111.77,2.2491,1.5199,489.77
1.5,0.01,5,2,False,4,9,61.971,1.9662,1.5201,348.971
1.5,0.01,6,0,False,2,4,20.0,2.3721,1.5208,282.0
1.5,0.01,6,1,False,4,12,59.355,2.3527,1.5201,355.355
1.5,0.01,6,2,True,6,10,123.385,2.256,1.5199,183.385
1.5,0.01,7,0,False,4,9,64.728,2.1912,1.52,351.728
1.5,0.01,7,1,False,2,6,52.799,2.1851,1.5202,320.799
1.5,0.01,7,2,False,5,15,77.284,1.8255,1.52,387.284
1.5,0.01,8,0,True,4,9,123.627,1.9352,1.5199,170.627
1.5,0.01,8,1,True,3,11,112.799,1.9486,1.5199,160.799
1.5,0.01,8,2,False,2,4,16.0,1.6952,1.521,278.0
1.5,0.01,9,0,True,3,10,129.184,2.1386,1.5199,174.184
1.5,0.01,9,1,False,1,3,18.0,2.6477,1.5209,272.0
1.5,0.01,9,2,False,1,3,22.243,2.141,1.5207,276.243
1.5,0.02,0,0,False,3,6,28.0,2.483,1.5409,301.0
1.5,0.02,0,1,True,4,7,103.527,2.0752,1.5399,144.527
1.5,0.02,0,2,True,2,8,87.87,1.7913,1.5399,121.87
1.5,0.02,1,0,False,1,3,23.0,2.4431,1.5413,277.0
1.5,0.02,1,1,True,2,7,131.184,1.941,1.5398,162.184
1.5,0.02,1,2,True,3,6,108.012,2.2913,1.5399,141.012
1.5,0.02,2,0,True,8,15,175.184,2.2752,1.5397,260.184
1.5,0.02,2,1,False,7,18,106.142,2.0986,1.5398,435.142
1.5,0.02,2,2,True,1,5,73.184,1.9246,1.5401,93.184
1.5,0.02,3,0,True,3,9,93.527,1.9536,1.5399,135.527
1.5,0.02,3,1,True,3,7,92.213,2.1184,1.5399,128.213
1.5,0.02,3,2,True,2,6,56.314,1.9856,1.5402,84.314
1.5,0.02,4,0,True,2,6,56.314,2.0058,1.5402,84.314
1.5,0.02,4,1,True,1,3,73.184,1.9727,1.5401,87.184
1.5,0.02,4,2,True,2,6,131.971,2.3116,1.5398,159.971
1.5,0.02,5,0,False,1,3,14.0,2.8251,1.5423,268.0
1.5,0.02,5,1,True,20,27,143.569,2.2668,1.5397,324.569
1.5,0.02,5,2,False,4,12,60.799,1.9367,1.5401,356.799
1.5,0.02,6,0,False,2,4,20.0,2.3721,1.5415,282.0
1.5,0.02,6,1,False,5,13,46.728,2.4714,1.5403,350.728
1.5,0.02,6,2,True,5,9,124.213,2.256,1.5398,176.213
1.5,0.02,7,0,True,6,16,133.971,2.0927,1.5397,211.971
1.5,0.02,7,1,False,4,9,63.799,2.0594,1.5401,350.799
1.5,0.02,7,2,True,2,6,85.184,1.8289,1.54,113.184
1.5,0.02,8,0,True,4,10,123.627,1.9271,1.5398,173.627
1.5,0.02,8,1,True,3,11,68.314,2.0261,1.54,116.314
1.5,0.02,8,2,False,2,3,18.243,1.6952,1.542,277.243
1.5,0.02,9,0,True,3,10,130.841,2.1386,1.5398,175.841
1.5,0.02,9,1,False,1,3,18.0,2.6477,1.5417,272.0
1.5,0.02,9,2,False,1,3,22.243,2.141,1.5414,276.243
1.5,0.05,0,0,False,3,6,28.0,2.483,1.6022,301.0
1.5,0.05,0,1,True,3,9,91.87,2.1248,1.5998,133.87
1.5,0.05,0,2,True,2,8,88.698,1.7913,1.5999,122.698
1.5,0.05,1,0,False,1,3,23.0,2.4431,1.6031,277.0
1.5,0.05,1,1,True,2,6,73.184,2.0525,1.6003,101.184
1.5,0.05,1,2,True,2,6,89.971,2.3383,1.5998,117.971
1.5,0.05,2,0,True,7,14,111.142,2.2732,1.5995,188.142
1.5,0.05,2,1,False,3,6,31.0,1.9729,1.6019,304.0
1.5,0.05,2,2,True,1,5,73.184,1.9246,1.6003,93.184
1.5,0.05,3,0,False,3,9,61.657,2.0026,1.6002,343.657
1.5,0.05,3,1,True,3,7,89.142,2.1195,1.5998,125.142
1.5,0.05,3,2,False,2,4,14.0,2.4139,1.6057,276.0
1.5,0.05,4,0,True,2,7,56.314,1.9999,1.6005,87.314
1.5,0.05,4,1,False,1,3,46.799,2.2468,1.6012,300.799
1.5,0.05,4,2,True,2,7,103.042,2.3117,1.5997,134.042
1.5,0.05,5,0,False,1,3,14.0,2.8251,1.6057,268.0
1.5,0.05,5,1,False,20,27,122.426,2.3147,1.5995,543.426
1.5,0.05,5,2,False,3,9,59.385,1.9856,1.6004,341.385
1.5,0.05,6,0,True,3,9,105.627,2.0563,1.5996,147.627
1.5,0.05,6,1,False,1,3,17.0,2.3147,1.6046,271.0
1.5,0.05,6,2,True,3,6,122.74,2.2833,1.5996,155.74
1.5,0.05,7,0,True,6,16,134.556,2.0905,1.5993,212.556
1.5,0.05,7,1,False,2,6,57.799,2.1132,1.6006,325.799
1.5,0.05,7,2,True,1,5,88.698,1.8156,1.5999,108.698
1.5,0.05,8,0,True,4,9,124.456,1.9352,1.5995,171.456
1.5,0.05,8,1,False,3,9,34.243,2.089,1.6015,316.243
1.5,0.05,8,2,True,1,3,75.184,2.0388,1.6003,89.184
1.5,0.05,9,0,True,3,10,129.426,2.1424,1.5994,174.426
1.5,0.05,9,1,False,3,9,49.142,2.0714,1.6008,331.142
1.5,0.05,9,2,True,2,6,113.77,2.0531,1.5996,141.77
