Variant,Seed,BarrierX,DeceptiveY,TargetFailed,NoiseCells,RobotInflationRadius,MatchedAnchor,MatchSimilarity,TransferredCells,Executable,UsedTargetFailedPassage,Length
Absolute-cell memory,87,36,10,True,3,1,"(36, 19)",0.9877,45,False,True,44.0
Passage-anchor memory,87,36,10,True,3,1,"(36, 19)",0.9877,0,False,True,44.0
Full method,87,36,10,True,3,1,"(36, 19)",0.9877,0,False,True,44.0
No memory,88,32,18,True,2,1,"(32, 5)",1.0,0,False,True,44.0
Absolute-cell memory,88,32,18,True,2,1,"(32, 5)",1.0,45,False,True,44.0
Passage-anchor memory,88,32,18,True,2,1,"(32, 5)",1.0,145,True,False,54.77
Full method,88,32,18,True,2,1,"(32, 5)",1.0,189,True,False,54.77
No memory,89,24,6,True,1,1,"(24, 19)",1.0,0,False,True,44.0
Absolute-cell memory,89,24,6,True,1,1,"(24, 19)",1.0,45,True,False,54.77
Passage-anchor memory,89,24,6,True,1,1,"(24, 19)",1.0,145,False,True,44.0
Full method,89,24,6,True,1,1,"(24, 19)",1.0,189,True,False,54.77
No memory,90,20,8,False,1,1,"(20, 19)",1.0,0,True,True,44.0
Absolute-cell memory,90,20,8,False,1,1,"(20, 19)",1.0,45,True,False,53.113
Passage-anchor memory,90,20,8,False,1,1,"(20, 19)",1.0,145,True,True,44.0
Full method,90,20,8,False,1,1,"(20, 19)",1.0,189,True,False,53.113
No memory,91,32,14,True,1,1,"(32, 7)",0.9877,0,False,True,44.0
Absolute-cell memory,91,32,14,True,1,1,"(32, 7)",0.9877,45,False,True,44.0
Passage-anchor memory,91,32,14,True,1,1,"(32, 7)",0.9877,145,True,False,49.799
Full method,91,32,14,True,1,1,"(32, 7)",0.9877,189,True,False,49.799
No memory,92,24,12,False,3,1,"(24, 21)",1.0,0,True,True,44.0
Absolute-cell memory,92,24,12,False,3,1,"(24, 21)",1.0,45,True,True,44.0
Passage-anchor memory,92,24,12,False,3,1,"(24, 21)",1.0,145,True,True,44.0
Full method,92,24,12,False,3,1,"(24, 21)",1.0,189,True,False,51.456
No memory,93,24,10,True,3,1,"(24, 21)",1.0,0,False,True,44.0
Absolute-cell memory,93,24,10,True,3,1,"(24, 21)",1.0,45,False,True,44.0
Passage-anchor memory,93,24,10,True,3,1,"(24, 21)",1.0,145,True,False,53.113
Full method,93,24,10,True,3,1,"(24, 21)",1.0,189,True,False,53.113
No memory,94,36,6,True,3,1,"(36, 20)",1.0,0,False,True,44.0
Absolute-cell memory,94,36,6,True,3,1,"(36, 20)",1.0,45,False,True,45.657
Passage-anchor memory,94,36,6,True,3,1,"(36, 20)",1.0,145,False,True,44.0
Full method,94,36,6,True,3,1,"(36, 20)",1.0,189,True,False,56.77
No memory,95,36,6,False,1,1,"(36, 21)",1.0,0,True,True,44.0
Absolute-cell memory,95,36,6,False,1,1,"(36, 21)",1.0,45,True,True,45.657
Passage-anchor memory,95,36,6,False,1,1,"(36, 21)",1.0,145,True,True,44.0
Full method,95,36,6,False,1,1,"(36, 21)",1.0,189,True,False,58.184
No memory,96,36,14,True,2,1,"(36, 6)",1.0,0,False,True,44.0
Absolute-cell memory,96,36,14,True,2,1,"(36, 6)",1.0,45,False,True,44.0
Passage-anchor memory,96,36,14,True,2,1,"(36, 6)",1.0,145,True,False,50.627
Full method,96,36,14,True,2,1,"(36, 6)",1.0,0,False,True,44.0
No memory,97,20,18,True,1,1,"(20, 5)",1.0,0,False,True,44.0
Absolute-cell memory,97,20,18,True,1,1,"(20, 5)",1.0,45,False,True,44.0
Passage-anchor memory,97,20,18,True,1,1,"(20, 5)",1.0,145,True,False,54.77
Full method,97,20,18,True,1,1,"(20, 5)",1.0,189,True,False,54.77
No memory,98,28,8,True,1,1,"(28, 19)",1.0,0,False,True,44.0
Absolute-cell memory,98,28,8,True,1,1,"(28, 19)",1.0,45,True,False,53.113
Passage-anchor memory,98,28,8,True,1,1,"(28, 19)",1.0,145,True,False,53.113
Full method,98,28,8,True,1,1,"(28, 19)",1.0,189,True,False,53.113
No memory,99,36,16,True,1,1,"(36, 6)",1.0,0,False,True,44.0
Absolute-cell memory,99,36,16,True,1,1,"(36, 6)",1.0,45,False,True,44.0
Passage-anchor memory,99,36,16,True,1,1,"(36, 6)",1.0,0,False,True,44.0
Full method,99,36,16,True,1,1,"(36, 6)",1.0,0,False,True,44.0
