TrajectoryType,Strategy,Seed,Mission,Success,Replans,WaitSteps,DecisionWaits,DecisionReroutes,PathLength,PredictionMAE,MeanRiskRadius,TotalCost
turn,Default uncertainty-aware memory,1000,1,False,2,4,0,0,21.0,1.3197,1.5264,283.0
turn,Default uncertainty-aware memory,1000,2,True,5,11,0,0,136.456,1.1802,1.5247,194.456
turn,Default uncertainty-aware memory,1001,0,True,4,8,0,0,101.184,1.2293,1.5249,145.184
turn,Default uncertainty-aware memory,1001,1,True,3,10,0,0,103.87,1.2382,1.5249,148.87
turn,Default uncertainty-aware memory,1001,2,False,1,3,0,0,15.0,1.5607,1.5272,269.0
turn,Default uncertainty-aware memory,1002,0,True,2,6,0,0,115.627,1.2877,1.5248,143.627
turn,Default uncertainty-aware memory,1002,1,True,5,12,0,0,104.314,1.2039,1.5248,165.314
turn,Default uncertainty-aware memory,1002,2,False,1,3,0,0,19.0,1.5275,1.5266,273.0
turn,Default uncertainty-aware memory,1003,0,True,3,6,0,0,136.314,1.2527,1.5247,169.314
turn,Default uncertainty-aware memory,1003,1,True,2,5,0,0,109.184,1.1771,1.5249,134.184
turn,Default uncertainty-aware memory,1003,2,True,5,13,0,0,133.971,1.3697,1.5247,197.971
turn,Default uncertainty-aware memory,1004,0,True,2,6,0,0,84.941,1.248,1.525,112.941
turn,Default uncertainty-aware memory,1004,1,True,2,6,0,0,89.728,1.2474,1.5249,117.728
turn,Default uncertainty-aware memory,1004,2,False,2,6,0,0,46.657,1.4342,1.5254,314.657
turn,Default uncertainty-aware memory,1005,0,True,1,3,0,0,56.314,1.2353,1.5253,70.314
turn,Default uncertainty-aware memory,1005,1,True,2,6,0,0,125.284,1.396,1.5248,153.284
turn,Default uncertainty-aware memory,1005,2,False,2,6,0,0,47.657,1.522,1.5253,315.657
turn,Default uncertainty-aware memory,1006,0,True,1,5,0,0,87.042,1.295,1.525,107.042
turn,Default uncertainty-aware memory,1006,1,True,2,6,0,0,135.083,1.3233,1.5248,163.083
turn,Default uncertainty-aware memory,1006,2,False,1,3,0,0,29.0,1.1186,1.5259,283.0
turn,Default uncertainty-aware memory,1007,0,False,6,12,0,0,64.385,1.4005,1.5251,370.385
turn,Default uncertainty-aware memory,1007,1,False,8,11,0,0,24.828,1.2913,1.5261,337.828
turn,Default uncertainty-aware memory,1007,2,True,0,0,0,0,74.841,1.3497,1.5252,74.841
turn,Default uncertainty-aware memory,1008,0,True,6,11,0,0,126.213,1.2379,1.5248,189.213
turn,Default uncertainty-aware memory,1008,1,True,1,5,0,0,89.042,1.2637,1.5249,109.042
turn,Default uncertainty-aware memory,1008,2,False,2,6,0,0,50.657,1.4778,1.5253,318.657
turn,Default uncertainty-aware memory,1009,0,False,3,4,0,0,25.0,1.3475,1.5262,292.0
turn,Default uncertainty-aware memory,1009,1,True,0,2,0,0,73.184,1.1609,1.5251,79.184
turn,Default uncertainty-aware memory,1009,2,True,3,9,0,0,142.314,1.2646,1.5247,184.314
turn,Default uncertainty-aware memory,1010,0,True,3,10,0,0,97.385,1.3175,1.5249,142.385
turn,Default uncertainty-aware memory,1010,1,True,6,10,0,0,117.142,1.2091,1.5248,177.142
turn,Default uncertainty-aware memory,1010,2,True,4,7,0,0,55.485,1.0991,1.5253,96.485
turn,Default uncertainty-aware memory,1011,0,False,1,3,0,0,13.0,1.3032,1.5275,267.0
turn,Default uncertainty-aware memory,1011,1,False,1,3,0,0,22.657,1.2195,1.5264,276.657
turn,Default uncertainty-aware memory,1011,2,True,0,2,0,0,73.184,1.3916,1.5251,79.184
turn,Default uncertainty-aware memory,1012,0,True,3,9,0,0,141.971,1.2993,1.5247,183.971
turn,Default uncertainty-aware memory,1012,1,True,3,6,0,0,98.314,1.1933,1.5249,131.314
turn,Default uncertainty-aware memory,1012,2,False,1,3,0,0,25.0,1.1247,1.5261,279.0
turn,Default uncertainty-aware memory,1013,0,False,1,3,0,0,16.0,1.682,1.527,270.0
turn,Default uncertainty-aware memory,1013,1,True,0,0,0,0,73.184,1.236,1.5252,73.184
turn,Default uncertainty-aware memory,1013,2,True,2,6,0,0,99.042,1.1569,1.5249,127.042
turn,Default uncertainty-aware memory,1014,0,False,3,5,0,0,19.0,1.3008,1.5266,289.0
turn,Default uncertainty-aware memory,1014,1,True,0,2,0,0,73.184,1.2183,1.5251,79.184
turn,Default uncertainty-aware memory,1014,2,True,3,9,0,0,120.799,1.2958,1.5248,162.799
turn,Default uncertainty-aware memory,1015,0,True,2,6,0,0,138.314,1.1439,1.5247,166.314
turn,Default uncertainty-aware memory,1015,1,False,2,4,0,0,29.0,1.3945,1.5259,291.0
turn,Default uncertainty-aware memory,1015,2,True,1,3,0,0,76.497,1.3856,1.5251,90.497
turn,Default uncertainty-aware memory,1016,0,True,2,6,0,0,124.799,1.201,1.5248,152.799
